CID,NDVI,LST
2,0.113292,58.7961006
2,0.222149,46.0059013
2,0.225746,46.8843002
2,0.216609,48.979599
2,0.192097,51.9532013
2,0.224684,44.6318016
2,0.226059,50.2955017
3,0.223393,46.7338982
3,0.235645,43.2578011
0,0.0790078,43.7807007
0,0.163224,44.5634995
1,0.166928,46.6825981
1,0.226537,46.480999
1,0.205147,51.3482018
1,0.164984,52.7290993
1,0.163371,42.0956993
1,0.124011,58.8987007
1,0.202211,53.5768013
1,0.122799,55.077301
2,0.18383,49.4752007
2,0.212314,44.1225014
2,0.187529,51.1329002
2,0.291008,41.6240005
2,0.221838,47.7661018
2,0.193607,47.714901
2,0.161877,54.0826988
2,0.27128,43.028801
2,0.175391,52.3667984
2,0.248137,42.410099
2,0.191706,51.2319984
2,0.203253,49.9502983
2,0.206862,53.7066994
2,0.237229,48.2652016
2,0.182499,54.7388992
2,0.191003,51.8540993
2,0.207201,53.0983009
2,0.210419,50.5689011
2,0.221131,47.1133003
2,0.156362,53.9356995
2,0.221552,44.8437996
2,0.208634,46.5663986
2,0.211883,50.0050011
2,0.23576,42.9808998
2,0.248745,44.2900009
2,0.162518,56.6940002
3,0.288598,41.5419998
3,0.288038,40.8823013
3,0.236829,44.8129997
3,0.262844,41.846199
3,0.222923,44.9530983
3,0.257464,42.5946999
3,0.24661,41.0121002
3,0.200117,41.3916016
3,0.241894,40.9916
3,0.247816,43.7910004
3,0.238241,41.2890015
3,0.217353,39.5116005
3,0.245602,43.8081017
3,0.158925,48.8394012
3,0.24711,40.4345016
3,0.253557,42.1674004
3,0.237988,43.8423004
3,0.221086,39.5800018
3,0.268727,42.5467987
3,0.246327,39.8568001
3,0.235875,42.8373985
3,0.255345,41.1352005
3,0.252278,42.8988991
4,0.112709,57.4459991
4,0.138677,59.0626984
4,0.160842,56.9571991
4,0.130769,58.478199
4,0.160437,54.6945
4,0.105255,57.0733986
4,0.109634,58.8440018
4,0.282779,50.828701
4,0.138242,55.2038002
4,0.133447,59.0046005
4,0.120876,57.6921005
4,0.16786,57.5690002
4,0.541986,38.9135017
4,0.151161,57.4221001
4,0.20447,54.6911011
4,0.144852,55.4738007
4,0.102371,58.4235992
4,0.0988446,64.0358963
4,0.10642,60.3171005
4,0.210827,57.2100983
4,0.122403,58.737999
4,0.131955,58.6251984
4,0.127003,57.0461006
4,0.13793,53.4981995
4,0.124432,56.7966003
4,0.116295,57.4151993
4,0.120283,61.7220001
4,0.23582,50.0357018
4,0.284923,48.0942993
4,0.165671,56.9469986
4,0.10817,60.7272987
4,0.118322,58.3244019
4,0.120741,52.479599
4,0.107629,60.9802017
4,0.101404,59.5924988
4,0.150085,53.1529999
4,0.112262,60.6007996
4,0.497189,47.4892998
4,0.152357,52.0830994
4,0.106407,59.1515999
0,-0.0537827,37.3326988
0,0.0330658,44.5806007
0,0.0562436,48.4429016
0,0.235963,41.3437004
0,0.0593004,46.5083008
0,0.0256859,35.6595001
0,0.0626499,55.3130989
0,-0.0073816,39.1697998
0,0.0733275,35.8837013
0,0.0243956,41.9623985
0,0.104261,43.0167999
0,0.135638,41.7999992
0,0.1731,53.8195
0,-0.0519122,34.364399
1,0.181771,46.2588005
1,0.188256,48.9077988
1,0.252945,46.7476006
1,0.217018,52.2831001
1,0.127165,54.4005013
1,0.269504,42.5587997
1,0.17753,50.6543999
1,0.21171,39.588501
1,0.143403,51.1260986
1,0.0617696,51.4814987
1,0.229831,41.5060005
1,0.200053,55.4225006
1,0.175485,47.7080002
1,0.155335,53.1188011
2,0.245784,45.3769989
2,0.213551,49.1162987
2,0.240102,45.0932999
2,0.207356,47.7421989
2,0.213198,49.3708992
2,0.199503,44.1362
2,0.226093,49.0205994
2,0.141527,48.4720001
2,0.266417,43.1534996
2,0.13195,55.9113007
2,0.144549,53.7784996
2,0.217047,44.2711983
2,0.226851,48.0139999
2,0.253776,46.5937996
2,0.174699,50.8013992
2,0.194486,50.6407013
2,0.158081,44.9634018
2,0.240516,49.3521004
2,0.239488,45.4726982
2,0.164055,53.2521019
2,0.201569,51.0167007
2,0.196786,41.9110985
2,0.1833,52.8829002
2,0.207304,49.1949005
2,0.172067,51.0321007
2,0.197171,48.7130013
2,0.250423,43.1621017
2,0.189339,48.1234016
2,0.174925,52.0112991
2,0.182047,53.4230003
2,0.105611,45.5684013
3,0.220838,38.2521019
3,0.282121,38.9202995
