.y.,group1,group2,n1,n2,statistic,p,p.adj,p.adj.signif
LST,water,builtup,299,297,20.774715977546375,7.3296310619341625e-96,7.329631061934162e-95,****
LST,water,barren,299,297,19.603083971591534,1.4553093749287852e-85,1.4553093749287852e-84,****
LST,water,forest,299,297,7.422345693806067,1.1506400961682069e-13,1.1506400961682069e-12,****
LST,water,agriculture,299,299,25.07599768254355,9.090332828456942e-139,9.090332828456941e-138,****
LST,builtup,barren,297,297,-1.1696711141940055,0.24213334686366836,1,ns
LST,builtup,forest,297,297,-13.330023204841865,1.548494925476276e-40,1.548494925476276e-39,****
LST,builtup,agriculture,297,299,4.259172527204588,2.0518505892286754e-5,2.0518505892286754e-4,***
LST,barren,forest,297,297,-12.16035209064786,5.054038747999458e-34,5.054038747999458e-33,****
LST,barren,agriculture,297,299,5.43080453315943,5.610055602193351e-8,5.610055602193351e-7,****
LST,forest,agriculture,297,299,17.611542810944897,2.0089394612816575e-69,2.0089394612816574e-68,****
