.y.,group1,group2,n1,n2,statistic,p,p.adj,p.adj.signif
NDVI,water,builtup,299,297,15.916921969675354,4.835887714591805e-57,4.8358877145918055e-56,****
NDVI,water,barren,299,297,16.99166643699554,9.466113420264819e-65,9.466113420264819e-64,****
NDVI,water,forest,299,297,25.08933646389268,6.5019959242161536e-139,6.501995924216154e-138,****
NDVI,water,agriculture,299,299,15.704931640274408,1.399284386439786e-55,1.399284386439786e-54,****
NDVI,builtup,barren,297,297,1.0729457305493737,0.2832954662009114,1,ns
NDVI,builtup,forest,297,297,9.157063162129035,5.3328860802843746e-20,5.332886080284375e-19,****
NDVI,builtup,agriculture,297,299,-0.23836302918473948,0.8115995395276923,1,ns
NDVI,barren,forest,297,297,8.08411743157966,6.26159763756084e-16,6.26159763756084e-15,****
NDVI,barren,agriculture,297,299,-1.3131074965049259,0.18914672815677272,1,ns
NDVI,forest,agriculture,297,299,-9.410777523402063,4.92480205169981e-21,4.92480205169981e-20,****
